linha,cod_protheus,descricao,status,http_status,mensagem,created_id
151,REA007,REAPERTAR FIXAÇÕES PARAFUSADAS,CREATED,201,,09a5e2f2e3f04c80b2a1451aa
152,REA008,REAPERTAR PARAFUSOS COM TORQUE CONFORME ISO:,CREATED,201,,fa4e2552a1f94b5881e5fe04a
153,REG001,REGULAR PRESSAO DA LINHA (5 A 6 BAR ),CREATED,201,,a2f04127f81d4bdd8c58eb6e0
154,REM001,REMOÇÃO DA BANDAGEM DE BORRACHA,CREATED,201,,ca3c14f0480740f993db2f569
155,REM002,REMOÇÃO DA BICA DO TC16,CREATED,201,,3a884e001a334b8db34c16263
156,REM003,REMOÇÃO DA CARCAÇA SUPERIOR,CREATED,201,,20d1cbb515e1436d85ed02da7
157,REM004,REMOÇÃO DA PÊRA (MÓVEL),CREATED,201,,5bd34ef38dad4f2ebfce73d35
158,REM005,REMOÇÃO DO BOJO (COM GUINDASTE),CREATED,201,,a1811c4bf8f54610a141abd75
159,REM006,REMOÇÃO DO OLHAL COM MAÇARICO,CREATED,201,,343a9705ace9470aae805cd63
160,REM007,REMOÇÃO REVESTIMENTO DO EIXO PRINCIPAL,CREATED,201,,3c39a5a6d39a452d86488f341
161,REM008,REMOÇÃO TREMONHA DE BORRACHA,CREATED,201,,d74f57b33872468e8743776ce
162,REM009,REMOVER MATERIAIS ACUMULADOS SOBRE OU AO REDOR DA PENEIRA,CREATED,201,,c79bb0d4e22349ba9958dbe7d
163,REV001,"REVISAR BOMBA QUANTO A QUANTO A PARAFUSOS SOLTOS, TRINCAS E VAZAMENTOS",CREATED,201,,ae00bd8c7cdd4d93a5207f489
164,REV002,"REVISAR BRAÇO / VOLANTE DE ACIONAMENTO QUANTO A PARAFUSOS SOLTOS, FALTANTES, QUEBRAS E TRINCAS",CREATED,201,,40f534d7571a414c8c3ad9035
165,REV003,"REVISAR CALHAS DE ENTRADA E SAIDA QUANTO A DESGASTE, FUROS, TRINCAS E DEFORMAÇÕES",CREATED,201,,de499d09373b4c42a9373144d
166,REV004,REVISAR MANCAIS 1° ROLO DE DOBRA E SUBSTITUIR LUBRIFICANTE,CREATED,201,,8adef01dc55541a885f4e587e
167,REV005,REVISAR MANCAIS 2° ROLO DE DOBRA E SUBSTITUIR LUBRIFICANTE,CREATED,201,,ad54c80050cf4a4983c0c620d
168,REV006,REVISAR MANCAIS ROLO DE CONTRAPESO E SUBSTITUIR LUBRIFICANTE,CREATED,201,,1c955ad79fce402eb4901eb10
169,REV007,REVISAR MANCAIS ROLO DE RETORNO E SUBSTITUIR LUBRIFICANTE,CREATED,201,,47f847a31b9f44929d6aaff66
170,REV008,REVISAR MANCAIS ROLO DE TRACAO E SUBSTITUIR LUBRIFICANTE,CREATED,201,,c531282e4fcc454484e9e7520
171,REV009,"REVISAR PROTEÇÕES MECANICAS QUANTO A INSTALAÇÃO, FIXAÇÃO, DANOS E DEFORMAÇÕES",CREATED,201,,591f79dd0a964d3983c58eb5e
172,REV010,"REVISAR PROTEÇÕES MECÂNICAS QUANTO A INSTALAÇÃO, FIXAÇÃO, DANOS E DEFORMAÇÕES",CREATED,201,,58f59dff5745416dac3dbf74b
173,REV011,"REVISAR TUBULAÇÕES DE ENTRADA E SAIDA QUANTO A FUROS, TRINCAS, CONEXÕES / VÁLVULAS SOLTAS, VAZAMENTOS E DEFORMAÇÕES",CREATED,201,,331a1d64521e4c31bc8d9c45c
174,SOL001,SOLDAR CABEÇA DA ARANHA,CREATED,201,,7ad307383f404633b5cf4bde5
175,SOL002,SOLDAR OLHAL NA PLACA DE ALIMENTAÇÃO,CREATED,201,,aa4b250d767b487ca6ec18571
